Residence,Region,Sub-Region,Total,Period
Philippines,Asia,Southeast Asia,7770,2012-02
Mexico,America,,135,2012-02
Indonesia,Asia,Southeast Asia,12281,2012-02
Middle East,Asia,,1077,2012-02
India,Asia,,2030,2012-02
"Korea,Republic of",Asia,,23284,2012-02
Japan,Asia,,133793,2012-02
Mainland China,Asia,,163442,2012-02
HongKong. Macao,Asia,,56376,2012-02
United Kingdom,Europe,,3206,2012-02
Malaysia,Asia,Southeast Asia,27153,2012-02
Brazil,America,,263,2012-02
Singapore,Asia,Southeast Asia,18202,2012-02
"Others, America",America,,709,2012-02
Greece,Europe,,116,2012-02
Argentina,America,,62,2012-02
Sweden,Europe,,537,2012-02
Russian Federation,Europe,,582,2012-02
"Others, Europe",Europe,,2280,2012-02
New Zealand,Oceania,,736,2012-02
"Others, Oceania",Oceania,,64,2012-02
S. Africa,Africa,,412,2012-02
Australia,Oceania,,5325,2012-02
Unstated,,,2588,2012-02
Spain,Europe,,424,2012-02
Switzerland,Europe,,576,2012-02
Netherlands,Europe,,1283,2012-02
Italy,Europe,,976,2012-02
Germany,Europe,,3567,2012-02
"Others, Africa",Africa,,322,2012-02
France,Europe,,2492,2012-02
Belgium,Europe,,341,2012-02
Canada,America,,6525,2012-03
France,Europe,,2807,2012-03
Belgium,Europe,,427,2012-03
"Others, America",America,,645,2012-03
Mexico,America,,257,2012-03
Brazil,America,,436,2012-03
United States of America,America,,35202,2012-03
Germany,Europe,,5570,2012-03
Argentina,America,,85,2012-03
Italy,Europe,,1446,2012-03
Australia,Oceania,,5498,2012-03
Switzerland,Europe,,694,2012-03
Spain,Europe,,610,2012-03
United Kingdom,Europe,,4941,2012-03
Austria,Europe,,591,2012-03
"Others, Oceania",Oceania,,62,2012-03
New Zealand,Oceania,,843,2012-03
"Others, Europe",Europe,,2884,2012-03
Russian Federation,Europe,,508,2012-03
"Others, Asia",Asia,,831,2012-03
Netherlands,Europe,,1473,2012-03
"Others, Southeast Asia",Asia,Southeast Asia,668,2012-03
Greece,Europe,,101,2012-03
Thailand,Asia,Southeast Asia,9998,2012-03
Sweden,Europe,,856,2012-03
HongKong. Macao,Asia,,81723,2012-03
Unstated,,,2454,2012-03
Vietnam,Asia,Southeast Asia,8270,2012-03
S. Africa,Africa,,393,2012-03
Mainland China,Asia,,253205,2012-03
Japan,Asia,,152227,2012-03
"Others, Africa",Africa,,292,2012-03
India,Asia,,2054,2012-03
Middle East,Asia,,1263,2012-03
Malaysia,Asia,Southeast Asia,33756,2012-03
Singapore,Asia,Southeast Asia,30853,2012-03
Indonesia,Asia,Southeast Asia,12140,2012-03
Philippines,Asia,Southeast Asia,9026,2012-03
"Korea,Republic of",Asia,,21571,2012-03
"Others, Europe",Europe,,2622,2012-04
Unstated,,,4515,2012-04
S. Africa,Africa,,319,2012-04
"Others, Oceania",Oceania,,65,2012-04
New Zealand,Oceania,,998,2012-04
Australia,Oceania,,5584,2012-04
"Others, Africa",Africa,,464,2012-04
Russian Federation,Europe,,716,2012-04
Greece,Europe,,98,2012-04
Sweden,Europe,,682,2012-04
Japan,Asia,,110313,2012-04
Mainland China,Asia,,278715,2012-04
HongKong. Macao,Asia,,109590,2012-04
"Korea,Republic of",Asia,,19862,2012-04
India,Asia,,2046,2012-04
Malaysia,Asia,Southeast Asia,28334,2012-04
Singapore,Asia,Southeast Asia,27468,2012-04
Indonesia,Asia,Southeast Asia,11960,2012-04
Philippines,Asia,Southeast Asia,10621,2012-04
Thailand,Asia,Southeast Asia,11104,2012-04
Vietnam,Asia,Southeast Asia,6686,2012-04
"Others, Southeast Asia",Asia,Southeast Asia,610,2012-04
"Others, Asia",Asia,,758,2012-04
Middle East,Asia,,1257,2012-04
United States of America,America,,33760,2012-04
Canada,America,,5877,2012-04
Austria,Europe,,446,2012-04
United Kingdom,Europe,,3781,2012-04
Spain,Europe,,582,2012-04
Netherlands,Europe,,1365,2012-04
Italy,Europe,,1015,2012-04
Switzerland,Europe,,670,2012-04
France,Europe,,2706,2012-04
Belgium,Europe,,429,2012-04
"Others, America",America,,703,2012-04
Argentina,America,,79,2012-04
Brazil,America,,409,2012-04
Mexico,America,,228,2012-04
Germany,Europe,,3649,2012-04
United States of America,America,,34284,2012-05
Philippines,Asia,Southeast Asia,9390,2012-05
Canada,America,,5894,2012-05
"Others, Asia",Asia,,700,2012-05
"Others, Southeast Asia",Asia,Southeast Asia,670,2012-05
Vietnam,Asia,Southeast Asia,7728,2012-05
Thailand,Asia,Southeast Asia,8294,2012-05
Indonesia,Asia,Southeast Asia,12734,2012-05
Mainland China,Asia,,228607,2012-05
Malaysia,Asia,Southeast Asia,27450,2012-05
Middle East,Asia,,888,2012-05
India,Asia,,1909,2012-05
"Korea,Republic of",Asia,,20535,2012-05
Japan,Asia,,116228,2012-05
HongKong. Macao,Asia,,74705,2012-05
Mexico,America,,202,2012-05
Singapore,Asia,Southeast Asia,25752,2012-05
Brazil,America,,264,2012-05
"Others, Africa",Africa,,320,2012-05
"Others, America",America,,577,2012-05
Argentina,America,,68,2012-05
"Others, Oceania",Oceania,,85,2012-05
Unstated,,,1813,2012-05
New Zealand,Oceania,,661,2012-05
Australia,Oceania,,3821,2012-05
"Others, Europe",Europe,,1943,2012-05
Russian Federation,Europe,,422,2012-05
Sweden,Europe,,500,2012-05
Greece,Europe,,89,2012-05
S. Africa,Africa,,245,2012-05
United Kingdom,Europe,,3210,2012-05
Spain,Europe,,408,2012-05
Switzerland,Europe,,566,2012-05
Netherlands,Europe,,1010,2012-05
Italy,Europe,,1005,2012-05
Germany,Europe,,3271,2012-05
Austria,Europe,,377,2012-05
France,Europe,,2149,2012-05
Belgium,Europe,,324,2012-05
Unstated,,,3148,2012-06
Italy,Europe,,1143,2012-06
Belgium,Europe,,401,2012-06
France,Europe,,2779,2012-06
Netherlands,Europe,,1269,2012-06
"Others, America",America,,771,2012-06
Germany,Europe,,3331,2012-06
Switzerland,Europe,,523,2012-06
New Zealand,Oceania,,798,2012-06
S. Africa,Africa,,340,2012-06
"Others, Oceania",Oceania,,83,2012-06
Australia,Oceania,,4664,2012-06
"Others, Europe",Europe,,2885,2012-06
Russian Federation,Europe,,1031,2012-06
Sweden,Europe,,597,2012-06
Greece,Europe,,94,2012-06
Argentina,America,,97,2012-06
Austria,Europe,,360,2012-06
"Others, Africa",Africa,,481,2012-06
Brazil,America,,438,2012-06
Indonesia,Asia,Southeast Asia,15794,2012-06
United States of America,America,,42318,2012-06
HongKong. Macao,Asia,,107986,2012-06
Mainland China,Asia,,199642,2012-06
Japan,Asia,,108434,2012-06
"Korea,Republic of",Asia,,19831,2012-06
India,Asia,,2128,2012-06
Mexico,America,,162,2012-06
Malaysia,Asia,Southeast Asia,21768,2012-06
Middle East,Asia,,1552,2012-06
United Kingdom,Europe,,3568,2012-06
Philippines,Asia,Southeast Asia,9538,2012-06
Thailand,Asia,Southeast Asia,7481,2012-06
Vietnam,Asia,Southeast Asia,7687,2012-06
"Others, Southeast Asia",Asia,Southeast Asia,634,2012-06
"Others, Asia",Asia,,936,2012-06
Canada,America,,5131,2012-06
Singapore,Asia,Southeast Asia,27377,2012-06
Spain,Europe,,578,2012-06
New Zealand,Oceania,,746,2012-07
"Others, Oceania",Oceania,,150,2012-07
S. Africa,Africa,,384,2012-07
Russian Federation,Europe,,498,2012-07
Mainland China,Asia,,235447,2012-07
HongKong. Macao,Asia,,94150,2012-07
Sweden,Europe,,459,2012-07
Greece,Europe,,110,2012-07
Austria,Europe,,571,2012-07
United Kingdom,Europe,,3200,2012-07
Spain,Europe,,509,2012-07
Australia,Oceania,,4358,2012-07
"Others, Europe",Europe,,2454,2012-07
Netherlands,Europe,,1463,2012-07
Italy,Europe,,1006,2012-07
Germany,Europe,,3385,2012-07
France,Europe,,2869,2012-07
Belgium,Europe,,464,2012-07
"Others, America",America,,620,2012-07
Argentina,America,,76,2012-07
Unstated,,,2962,2012-07
Brazil,America,,350,2012-07
United States of America,America,,35583,2012-07
Canada,America,,6019,2012-07
"Others, Asia",Asia,,548,2012-07
"Others, Southeast Asia",Asia,Southeast Asia,557,2012-07
Vietnam,Asia,Southeast Asia,7776,2012-07
Thailand,Asia,Southeast Asia,7331,2012-07
Philippines,Asia,Southeast Asia,8097,2012-07
Indonesia,Asia,Southeast Asia,12850,2012-07
Singapore,Asia,Southeast Asia,17042,2012-07
Malaysia,Asia,Southeast Asia,15874,2012-07
Middle East,Asia,,1043,2012-07
India,Asia,,1953,2012-07
"Korea,Republic of",Asia,,18976,2012-07
Japan,Asia,,101333,2012-07
